Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Day 1,Day 2,Day 3,Day 4
ASV00001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,eburneus,3.7876616584681764,2.214432990470496,1.1595027425690898,1.772611893340794
ASV00002,Bacteria,NA,NA,NA,NA,NA,NA,0.06683826558302643,0.6654396755085082,5.257409726855392,8.367761352750522
ASV00003,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,31.812981309527288,27.472909206685888,17.99029587373163,5.643425563009718
ASV00004,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA,19.657994379804773,32.820514810350545,19.553578433856416,9.894038302000512
ASV00005,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,NA,1.9236954118773533,2.6484378739093972,11.981711197416944,8.794495924536765
ASV00007,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,5.195149323065827,7.054815766978468,8.888330868068893,14.882080157048122
ASV00011,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,flava,1.028254284956951,0.9192695093520826,3.9421261755795336,7.634832542063484
ASV00012,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA,NA,0.0015829046299960427,0.02435534447590343,0.479022288378971,5.631365382936721
ASV00014,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA,0.9621093390178158,1.1528566900795287,1.3701898750264911,2.766708396235767
ASV00018,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA,0.4484736467819251,1.9257948389822712,1.5945814487902057,2.8891548683050234
ASV00019,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,litoralis,3.412760624309204,2.184606776492138,1.7460773159051577,1.4736769269387058
ASV00021,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,0.9547469449324192,0.548721891177645,0.39125191309021207,0.38624754071368916
ASV00022,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,0.0751361980106197,0.36683768634602537,2.1566715440553286,1.9370039075738517
ASV00023,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus,oleivorans,4.963157877870094,3.4147645791367363,1.2666054981405026,0.30990514896704413
ASV00024,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,2.9181491307816816,1.1811596352077294,0.9744643200379749,0.9927759580026874
ASV00025,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,3.078070036730635,1.8866725216461384,0.9672412793719789,0.20998748809965187
ASV00026,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,0.9842176567040383,0.9123499763421229,0.3025490968565289,0.1687328925204928
