Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Day 1,Day 2,Day 3,Day 4
ASV00001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,eburneus,3.787661658,2.21443299,1.159502743,1.772611893
ASV00002,Bacteria,NA,NA,NA,NA,NA,NA,0.066838266,0.665439676,5.257409727,8.367761353
ASV00003,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,31.81298131,27.47290921,17.99029587,5.643425563
ASV00004,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA,19.65799438,32.82051481,19.55357843,9.894038302
ASV00005,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,NA,1.923695412,2.648437874,11.9817112,8.794495925
ASV00007,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,5.195149323,7.054815767,8.888330868,14.88208016
ASV00008,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA,0.213953118,0.041374662,0.042389827,0.079466066
ASV00011,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,flava,1.028254285,0.919269509,3.942126176,7.634832542
ASV00012,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA,NA,0.001582905,0.024355344,0.479022288,5.631365383
ASV00014,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA,0.962109339,1.15285669,1.370189875,2.766708396
ASV00018,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA,0.448473647,1.925794839,1.594581449,2.889154868
ASV00019,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,litoralis,3.412760624,2.184606776,1.746077316,1.473676927
ASV00021,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,0.954746945,0.548721891,0.391251913,0.386247541
ASV00022,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA,0.075136198,0.366837686,2.156671544,1.937003908
ASV00023,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus,oleivorans,4.963157878,3.414764579,1.266605498,0.309905149
ASV00024,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,2.918149131,1.181159635,0.97446432,0.992775958
ASV00025,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,NA,3.078070037,1.886672522,0.967241279,0.209987488
ASV00026,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,NA,0.984217657,0.912349976,0.302549097,0.168732893
ASV00028,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,NA,0.184493556,0.242641288,0.085522189,0.169052416
ASV00029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,BRH-c57,NA,0.098579874,0.102813058,0.515727393,0.871790585
ASV00030,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,NA,0.248017563,0.145281015,0.991022825,1.894433294
ASV00031,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,NA,0.172297438,0.596871186,1.460154337,0.883033837
ASV00034,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,0.031727996,0.141274601,0.791917374,4.695982403
ASV00035,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA,1.061827472,1.842038306,1.995517226,1.34810155
ASV00036,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA,0.811599552,0.348405974,0.324468982,0.439709364
