GG OTU,KEGG,ASV,Gene copies,Abundance (%),Contribution (%),Phylum,Class,Order,Family,Genus,Species
568345,K01452,ASV0001,1,48.31072496,0.945825464,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,eburneus
275246,K01183,ASV0004,3,1.405437762,0.52911483,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
797229,K01183,ASV0008,1,0.507421379,0.063677473,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
797229,K03933,ASV0008,1,0.507421379,0.696285791,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
217732,K01183,ASV0018,1,1.436192544,0.180231098,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
939811,K01183,ASV0024,3,0.154507291,0.058168424,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01452,ASV0024,1,0.154507291,0.003024938,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K03933,ASV0024,1,0.154507291,0.212015567,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
1010927,K01183,ASV0035,3,0.036864926,0.013878792,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA
208171,K01183,ASV0040,3,0.005093502,0.001917586,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
208171,K01183,ASV0042,3,0.005093502,0.001917586,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
722628,K01452,ASV0043,1,1.035583795,0.020274619,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,halophilus
590482,K01183,ASV0048,1,0.625103493,0.078445672,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
568345,K01452,ASV0052,1,48.31072496,0.945825464,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA
217732,K01183,ASV0057,1,1.436192544,0.180231098,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA
773900,K01452,ASV0065,1,0.349701245,0.006846437,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicimonas,NA
705967,K01452,ASV0088,1,0.168736564,0.003303518,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thiobacimonas,profunda
