GG OTU,KEGG,ASV,Gene copies,Abundance (%),Contribution (%),Phylum,Class,Order,Family,Genus,Species,
939811,K03933,ASV0024,1,3.033274522,0.905513642,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K03933,ASV0556,1,3.033274522,0.905513642,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K03933,ASV4239,1,3.033274522,0.905513642,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
275246,K01183,ASV0004,3,41.00859507,0.811549676,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,ASV0613,3,41.00859507,0.811549676,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,NA
568345,K01452,ASV0001,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,eburneus
568345,K01452,ASV0052,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA
568345,K01452,ASV0178,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA
568345,K01452,ASV0400,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
568345,K01452,ASV1013,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
568345,K01452,ASV1381,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
568345,K01452,ASV3649,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
568345,K01452,ASV5399,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA
568345,K01452,ASV6348,1,4.535319932,0.53319492,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA
939811,K01452,ASV0024,1,3.033274522,0.35660694,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01452,ASV0556,1,3.033274522,0.35660694,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01452,ASV4239,1,3.033274522,0.35660694,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
1033018,K03791,ASV0390,1,0.010920649,0.117258332,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
1033018,K03791,ASV1138,1,0.010920649,0.117258332,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,NA
1033018,K03791,ASV1214,1,0.010920649,0.117258332,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
1033018,K03791,ASV1260,1,0.010920649,0.117258332,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA
1033018,K03791,ASV1983,1,0.010920649,0.117258332,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA
1124040,K03791,ASV0705,1,0.00964504,0.10356173,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Aquaspirillaceae,Rivicola,NA
1124040,K03791,ASV6601,1,0.00964504,0.10356173,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Aquaspirillaceae,Rivicola,NA
2111163,K03791,ASV0235,1,0.009420889,0.101154953,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,gilardii
646549,K03791,ASV0554,1,0.008295113,0.089067153,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03791,ASV0649,1,0.008295113,0.089067153,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03791,ASV0822,1,0.008295113,0.089067153,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
646549,K03791,ASV6270,1,0.008295113,0.089067153,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
581409,K03791,ASV0576,1,0.007833636,0.084112134,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,aquatile
581409,K03791,ASV0742,1,0.007833636,0.084112134,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
581409,K03791,ASV0767,1,0.007833636,0.084112134,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,NA
581409,K03791,ASV1099,1,0.007833636,0.084112134,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,parvum
1074016,K03791,ASV1060,1,0.007721918,0.082912584,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,radicis
1074016,K03791,ASV2264,1,0.007721918,0.082912584,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,NA
1074016,K03791,ASV2289,1,0.007721918,0.082912584,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,NA
541859,K03791,ASV1143,1,0.00655079,0.070337826,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1010927,K01183,ASV0035,3,3.123742278,0.061818066,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA
1010927,K01183,ASV6330,3,3.123742278,0.061818066,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinimicrobium,NA
939811,K01183,ASV0024,3,3.033274522,0.060027732,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01183,ASV0556,3,3.033274522,0.060027732,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
939811,K01183,ASV4239,3,3.033274522,0.060027732,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
1011088,K01452,ASV0141,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV0168,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV0436,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV0458,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV0700,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV0817,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV1024,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ponticoccus,NA
1011088,K01452,ASV1806,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Salinihabitans,NA
1011088,K01452,ASV2675,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV3182,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV4713,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
1011088,K01452,ASV6271,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,NA
1011088,K01452,ASV6448,1,0.495099356,0.058206359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,NA
974121,K03791,ASV0186,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV0495,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV1205,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV1324,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV1394,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV2363,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV5585,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
974121,K03791,ASV6268,1,0.003926915,0.042164482,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
964989,K03791,ASV1078,1,0.003825353,0.04107398,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
817734,K03791,ASV0372,2,0.001864565,0.040040804,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
1111582,K03933,ASV0089,2,0.064445219,0.038477246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,NA
1111582,K03933,ASV0219,2,0.064445219,0.038477246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,NA
1111582,K03933,ASV0417,2,0.064445219,0.038477246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
1111582,K03933,ASV0500,2,0.064445219,0.038477246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,NA
1111582,K03933,ASV1339,2,0.064445219,0.038477246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,cecorum
1111582,K03933,ASV1773,2,0.064445219,0.038477246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,columbae
1111582,K03933,ASV3500,2,0.064445219,0.038477246,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,elegans
813980,K03791,ASV1894,2,0.001746839,0.037512684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ahrensia,kielensis
208171,K01183,ASV0040,3,1.871973596,0.037045882,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
208171,K01183,ASV0042,3,1.871973596,0.037045882,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,NA
219331,K03791,ASV2112,2,0.001522209,0.032688843,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,NA
830893,K03791,ASV1923,2,0.001440881,0.030942356,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
830893,K03791,ASV2045,2,0.001440881,0.030942356,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
922761,K03791,ASV0306,1,0.002638175,0.028326888,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Lelliottia,NA
922761,K03791,ASV0763,1,0.002638175,0.028326888,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,agglomerans
922761,K03791,ASV1018,1,0.002638175,0.028326888,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,NA
922761,K03791,ASV1502,1,0.002638175,0.028326888,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,NA
922761,K03791,ASV1895,1,0.002638175,0.028326888,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
922761,K03791,ASV2927,1,0.002638175,0.028326888,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,NA
922761,K03791,ASV6454,1,0.002638175,0.028326888,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,NA
1088647,K03791,ASV0233,1,0.002638174,0.028326877,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
1088647,K03791,ASV0919,1,0.002638174,0.028326877,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,chaponense
1088647,K03791,ASV1395,1,0.002638174,0.028326877,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,antarcticum
1088647,K03791,ASV2026,1,0.002638174,0.028326877,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
