sample,treatment,coverage,nseqs,bergerparker,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci
S20_1_4,daily_1,0.947421,1008,0.30754,206.833333,145.729218,337.428745,2.613293,2.503493,2.723093
S20_1_5,daily_1,0.967868,1027,0.333982,125.666667,90.603409,212.816979,2.553067,2.457387,2.648747
S20_1_6,daily_1,0.940783,1047,0.397326,268.909091,178.866453,457.987126,2.603969,2.494474,2.713465
S20_2_4,daily_2,0.930233,1118,0.297853,613.5,332.765316,1252.853432,2.735226,2.627612,2.842839
S20_2_5,daily_2,0.954545,1034,0.307544,221.125,144.100921,400.259486,2.64546,2.539542,2.751377
S20_2_6,daily_2,0.979284,1062,0.363465,126,72.961612,296.43744,2.041867,1.945159,2.138576
S20_3_4,daily_3,0.939901,1015,0.184236,210.315789,162.917228,303.641392,3.203042,3.1031,3.302984
S20_3_5,daily_3,0.936128,1002,0.187625,235.588235,177.17205,350.71598,3.207625,3.105359,3.30989
S20_3_6,daily_3,0.933532,1008,0.224206,279.928571,200.955616,437.891827,3.093214,2.982966,3.203461
S20_4_4,daily_4,0.938477,1024,0.180664,274.75,190.746225,448.366124,3.251368,3.157383,3.345353
S20_4_5,daily_4,0.925628,995,0.146734,315.928571,221.135593,502.285766,3.389984,3.296808,3.48316
S20_4_6,daily_4,0.929,1000,0.136,345.909091,230.027307,583.838647,3.349101,3.256033,3.442169
