GG OTU,KEGG,Sample,ASV,Gene copies,Abundance (%),Contribution (%),Phylum,Class,Order,Family,Genus,Species
275246,K01183,L10_7,ASV0004,3,0.713885778,0.746341464,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L10_8,ASV0004,3,1.339060132,0.929824561,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L10_9,ASV0004,3,1.36383009,0.880733945,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L10_B,ASV0004,3,0.305004852,1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L11_7,ASV0004,3,0.316725546,1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L11_8,ASV0004,3,0.375214408,0.792452832,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L11_9,ASV0004,3,0.869703558,0.833898306,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L11_B,ASV0004,3,0.173451689,0.531249998,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L12_7,ASV0004,3,2.642159678,0.859813084,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L12_9,ASV0004,3,5.148658448,1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L12_B,ASV0004,3,0.366703338,0.75949367,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L13_8,ASV0004,3,0.341639872,0.62962963,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L13_9,ASV0004,3,0.025510204,0.117647059,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L13_B,ASV0004,3,0.035688794,1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
275246,K01183,L14_7,ASV0004,3,0.239972574,0.988235294,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
