Group,Class,Long,Short,Daily,Long_R,Short_R,Daily_R
ASV0001,Alphaproteobacteria,24.29500917,5.258978444,2.233552321,24.82271826,17.54092151,12.28196587
ASV0002,NA,17.74604181,10.63972202,3.589362255,6.143413437,22.1737967,25.19045179
ASV0003,Gammaproteobacteria,0.17249647,6.193150917,20.72990299,0.127286823,0.949504353,7.696232555
ASV0004,Gammaproteobacteria,0.480089122,10.73520013,20.48153148,0.846983247,0.340067785,0.178359217
ASV0005,Bacteroidia,1.659218674,12.53647278,6.337085102,0.001482831,0.436840164,0.030472009
ASV0006,Gammaproteobacteria,0.03667965,0,0,0.024751197,0.001720726,0
ASV0007,Alphaproteobacteria,4.06170068,11.46413611,9.005094029,0.211399169,0.227135851,0.050806934
ASV0008,Gammaproteobacteria,0.488405775,0.642740323,0.094295918,0.022265855,3.029518911,0.407848909
ASV0009,Clostridia,0.011721914,0.003966659,0.002367188,4.63984873,15.34887763,3.594641851
ASV0010,Cloacimonadia,2.893460708,0.007500398,0.000929128,3.519894108,0.522519803,0.006190162
ASV0011,Bacteroidia,0.083326484,7.827254295,3.381120628,0.089845622,1.264016486,0.28978752
ASV0012,Clostridia,0.64665785,1.476280275,1.53408148,5.074053729,0.4992448,0.224993617
ASV0013,Bacteroidia,3.141183636,0.098590101,0,1.265217667,0,0
ASV0014,Alphaproteobacteria,0.370183524,1.339278233,1.562966075,0.317616285,2.790453772,5.119073237
ASV0015,Clostridia,2.417099007,0.000675311,0.000844138,1.171561252,0,0
ASV0016,Bacteroidia,0.005743428,0,0,2.110268338,8.497675644,2.606133334
ASV0017,Bacilli,0.004867116,0.006707692,0.004664996,2.631083681,0,0.04683922
ASV0018,Bacteroidia,0.595947555,2.229931914,1.714501201,0.003405034,0.040604429,0
ASV0019,Gammaproteobacteria,0.165746423,1.012595578,2.204280411,0.041969697,0.076583973,0.694119193
ASV0020,Gammaproteobacteria,0.22863369,0,0,0.190780209,1.881467335,7.78549518
ASV0021,Gammaproteobacteria,0.08844075,0.421746706,0.570242073,0.132793414,0.255168675,5.532910336
ASV0022,Deltaproteobacteria,1.037515194,1.552807308,1.133912334,0.021275162,0.022261442,0.02341961
ASV0023,Gammaproteobacteria,0.002219962,0.13668542,2.488608276,0.001881852,0.000825355,0.005078359
ASV0024,Gammaproteobacteria,0.054631427,1.017836,1.516637261,0.038268448,0.006022542,0
ASV0025,Gammaproteobacteria,0.008907445,0.119627593,1.535492832,0.962332497,0.000888257,0
ASV0026,Alphaproteobacteria,0.111271639,1.53108024,0.591962406,0.007888342,0.151934182,0.061363806
ASV0027,Alphaproteobacteria,0.021769106,0.000877193,0.00110346,1.913823178,0.915588927,2.408245351
ASV0028,Gammaproteobacteria,0.638554582,0.297715171,0.170427362,0.020589826,0.02387801,0.015514963
ASV0029,Alphaproteobacteria,0.940169893,0.405318471,0.397227727,0.04923694,0.000860363,0
ASV0030,Bacteroidia,0.023670832,1.874779402,0.819688674,0.009812473,0.26579666,0.069237771
ASV0031,Deltaproteobacteria,0.081361734,1.136935924,0.7780892,0.033393558,0.01451904,0
ASV0032,Cloacimonadia,0.728815637,0.007041799,0,0.239283803,0.124776817,0
ASV0033,Gammaproteobacteria,0.234701011,0.02100388,0.002592414,0.09753454,0.586027854,2.34304041
ASV0034,Clostridia,0.140836289,2.052203808,1.415225593,0.038988885,0.026671255,0.032875075
ASV0035,Gammaproteobacteria,0.008662498,0.560749377,1.561871139,0,0.006875791,0.001031694
ASV0036,Gammaproteobacteria,0.238763442,0.697851343,0.481045968,0,0.007673251,0.002063387
ASV0037,Gammaproteobacteria,0.092899707,0.379750965,0.29782976,0.175405297,0.43403283,1.298341778
ASV0038,Deltaproteobacteria,0.08604591,0.001099416,0,1.536729325,1.410806905,0.288282161
ASV0039,Chitinivibrionia,0.042491751,1.368827366,0.788518673,0.000605991,0.015451527,0.001031694
ASV0040,Gammaproteobacteria,0.000169987,0.065994113,0.504156933,0.013934975,0.010101304,1.842319857
ASV0041,Deltaproteobacteria,0.489411144,0.38170658,0.107054767,0.000600179,0.012905446,0
ASV0042,Gammaproteobacteria,0.002131629,0.184336852,0.86365973,0.003689669,0.000860363,0.001058022
ASV0043,Alphaproteobacteria,0.455759599,0.021734011,0.006968537,0.428631744,0.13167774,0.018169363
ASV0044,Bacteroidia,0.597155519,0.118741374,0.00072044,0.142783489,0.082276843,0.10944393
ASV0045,Ignavibacteria,0.460049037,0.000646684,0,0.516800137,0.044603456,0
ASV0046,Deltaproteobacteria,0.785511304,0.036318422,0.009374989,0.123512322,0.065603808,0.003095081
ASV0047,Deltaproteobacteria,0.124400172,0.795811435,0.502721715,0.013687816,0.015486535,0
ASV0048,NA,0.639623675,0.008974254,0,0.142399263,0.050643951,0.001031694
ASV0049,Alphaproteobacteria,0.909856909,0.290557025,0.106530371,0.247250216,0.000825355,0.001031694
ASV0050,Alphaproteobacteria,0.112343707,0.044951723,0.062405779,0.152368888,0.076908867,0.108770283
ASV0051,Deltaproteobacteria,0.399367925,0.2748702,0.058899464,0.002837223,0.004301815,0
ASV0052,Alphaproteobacteria,0.366242643,0.103299454,0.06599211,0.698206494,0.255702863,0.066895785
ASV0053,Bacteroidia,0.470683563,0.001523877,0,0.417945674,0.009034075,0
ASV0054,Deltaproteobacteria,0.352487349,0.017191161,0,0.085420527,0,0
ASV0055,Deltaproteobacteria,0.168275719,0.29761838,0.101869275,0.31017768,0.732521109,0.212028403
ASV0056,Cloacimonadia,0,0.000697131,0,1.291006099,0.077089393,0
ASV0057,Bacteroidia,0.144884805,0.572453724,0.435618533,0.000666178,0.008603631,0
ASV0058,Campylobacteria,0.196862617,0.294870093,0.103467596,0,0.006022542,0
