Group,daily_1,daily_2,daily_3,daily_4
Donghicola,0.037279187591109535,0.014834921388146424,0.0099133697574746507,0.016561217546063652
Bacteria_unclassified,0.0006552577755109401,0.0058403712367600018,0.041998119251371369,0.071922660175879394
Cellvibrionaceae_unclassified,0.20525124004776538,0.32295399662200791,0.18915685323387163,0.1003404653475712
Thalassotalea,0.33040960019941562,0.270755634097326,0.17070387140333454,0.055332443467336678
Crocinitomix,0.019889631678286421,0.025355217196812649,0.11053612534099837,0.086408723304020107
Alcaligenaceae_unclassified,0.0,0.0,0.0,0.0
Terasakiella,0.05078076106965157,0.062394567531309703,0.076664405179788203,0.13507730056532663
Rhodovulum,0.0,0.0,0.0,0.0
Clostridiales_unclassified,0.0,0.00032237266279819472,0.0039605108338331549,0.051028698178391958
Marinobacter,0.0080889559463060614,0.0031570080882805745,0.0019815459393200461,0.0039866127512562808
Cloacimonetes_unclassified,0.0,0.0,0.0,0.0
Lachnospiraceae_unclassified,0.0,0.0,0.0,0.0
Muricauda,0.0052173443213847986,0.013373494088696329,0.017818727624116844,0.034527206344221101
Carboxylicivirga,0.011995866829750257,0.008737893599390258,0.040033671026857065,0.084325285280569526
Donghicola,0.0026025132182870385,0.0072197992006108489,0.0013244310503240919,0.0013288709170854271
Escherichia-Shigella,0.0013227513227513227,0.0,0.0,0.00032552083333333332
Streptococcus,0.0,0.0,0.0,0.0
Rhodobacteraceae_unclassified,0.010054482933595043,0.011818847417938318,0.012536066345688482,0.027168184673366836
Bacteroidetes_unclassified,0.0,0.0,0.0,0.0
Desulfovibrio,0.00097362772138804936,0.0033595519426497552,0.021495719562517002,0.019227871126465661
Marinobacter,0.0,0.0,0.0,0.0
Bacteria_unclassified,0.0,0.0003138731952291274,0.0033036963839152569,0.0046499293341708547
Bacteroidetes_unclassified,0.0,0.0,0.0,0.0
Methylophaga,0.0,0.0,0.0,0.0
Thalassotalea,0.012969412438057028,0.0075321204230369846,0.0043020008150092808,0.0046376544179229477
Gammaproteobacteria_unclassified,0.0,0.0,0.0,0.0
Marinobacter,0.035313578490739274,0.021361258087496986,0.016864533112210173,0.014599717336683417
Marinobacter,0.0,0.0003138731952291274,0.0,0.0
Balneola,0.0,0.0,0.0,0.0
Thalassolituus,0.050830114721975739,0.033306154151682872,0.011574429138439049,0.002978237541876047
Terasakiella,0.011034310653929092,0.0096565691840727694,0.0029755895980343636,0.0019704250418760469
Marinobacterium,0.0,0.0,0.0,0.0
Colwelliaceae_unclassified,0.031493221253295241,0.019419799843989918,0.0095977448496548223,0.0023115708752093804
Marivirga,0.0,0.0,0.0,0.0
Catenococcus,0.030201634151436479,0.012002840364366376,0.0092690371856178171,0.0096136672948073706
Proteobacteria_unclassified,0.0,0.0033765508777878895,0.011228678384883214,0.0082842336683417086
Rhodospirillaceae_unclassified,0.00096130983657732785,0.0012325487799116394,0.0049542540534694155,0.011523817001675042
Aestuariicella,0.033317379961045411,0.013469376467221133,0.0066133332677829884,0.001993862541876047
Alphaproteobacteria_unclassified,0.0,0.0,0.0,0.0
Rhodospirillaceae_unclassified,0.0,0.0,0.0,0.0
Rhodobacteraceae_unclassified,0.0,0.0,0.00033266799733865598,0.0016638792922948073
Muricauda,0.0,0.0,0.0,0.0
Lachnospiraceae_unclassified,0.00064293989070021858,0.0024808192941102474,0.010248017921464132,0.05798334118509213
Alteromonas,0.0074336160577138412,0.0021826678331680889,0.003638644986982794,0.00099386254187604694
Spongiibacter,0.0022718253875992078,0.0021826678331680889,0.00099176305298543581,0.0016527167085427137
Cloacimonetes_unclassified,0.0,0.0,0.0,0.0
Spirochaeta_2,0.0,0.0,0.0,0.0
OM27_clade,0.0016226854979529892,0.0063980084233524808,0.014210508921948112,0.0095935667922948074
NB1-n_ge,0.0,0.0,0.0,0.00033333333333333332
Neptuniibacter,0.0,0.0,0.0,0.0
uncultured_ge,0.0,0.0,0.0,0.0
Chitinivibrio,0.00064293989070021858,0.0055264980415308746,0.025800601861411279,0.0036516043760469012
Marinimicrobium,0.011096146417226537,0.018263746272199882,0.019197469865960468,0.013628729585427136
Propionibacterium,0.00031836994587710921,0.0,0.0,0.0
Rhodovulum,0.0,0.0,0.0,0.0
Oceanospirillum,0.0,0.0,0.0,0.0
Kordia,0.0,0.0,0.0,0.0
