Group,daily_1,daily_2,daily_3,daily_4
Otu000001,0.037279187591109535,0.014834921388146424,0.0099133697574746507,0.016561217546063652
Otu000002,0.0006552577755109401,0.0058403712367600018,0.041998119251371369,0.071922660175879394
Otu000003,0.20525124004776538,0.32295399662200791,0.18915685323387163,0.1003404653475712
Otu000004,0.33040960019941562,0.270755634097326,0.17070387140333454,0.055332443467336678
Otu000005,0.019889631678286421,0.025355217196812649,0.11053612534099837,0.086408723304020107
Otu000006,0.0,0.0,0.0,0.0
Otu000007,0.05078076106965157,0.062394567531309703,0.076664405179788203,0.13507730056532663
Otu000008,0.0,0.0,0.0,0.0
Otu000009,0.0,0.00032237266279819472,0.0039605108338331549,0.051028698178391958
Otu000010,0.0080889559463060614,0.0031570080882805745,0.0019815459393200461,0.0039866127512562808
Otu000011,0.0,0.0,0.0,0.0
Otu000012,0.0,0.0,0.0,0.0
Otu000013,0.0052173443213847986,0.013373494088696329,0.017818727624116844,0.034527206344221101
Otu000014,0.011995866829750257,0.008737893599390258,0.040033671026857065,0.084325285280569526
Otu000015,0.0026025132182870385,0.0072197992006108489,0.0013244310503240919,0.0013288709170854271
Otu000016,0.0013227513227513227,0.0,0.0,0.00032552083333333332
Otu000017,0.0,0.0,0.0,0.0
Otu000018,0.010054482933595043,0.011818847417938318,0.012536066345688482,0.027168184673366836
Otu000019,0.0,0.0,0.0,0.0
Otu000020,0.00097362772138804936,0.0033595519426497552,0.021495719562517002,0.019227871126465661
Otu000021,0.0,0.0,0.0,0.0
Otu000022,0.0,0.0003138731952291274,0.0033036963839152569,0.0046499293341708547
Otu000023,0.0,0.0,0.0,0.0
Otu000024,0.0,0.0,0.0,0.0
Otu000025,0.012969412438057028,0.0075321204230369846,0.0043020008150092808,0.0046376544179229477
Otu000026,0.0,0.0,0.0,0.0
Otu000027,0.035313578490739274,0.021361258087496986,0.016864533112210173,0.014599717336683417
Otu000028,0.0,0.0003138731952291274,0.0,0.0
Otu000029,0.0,0.0,0.0,0.0
Otu000030,0.050830114721975739,0.033306154151682872,0.011574429138439049,0.002978237541876047
Otu000031,0.011034310653929092,0.0096565691840727694,0.0029755895980343636,0.0019704250418760469
Otu000032,0.0,0.0,0.0,0.0
Otu000033,0.031493221253295241,0.019419799843989918,0.0095977448496548223,0.0023115708752093804
Otu000034,0.0,0.0,0.0,0.0
Otu000035,0.030201634151436479,0.012002840364366376,0.0092690371856178171,0.0096136672948073706
Otu000036,0.0,0.0033765508777878895,0.011228678384883214,0.0082842336683417086
Otu000037,0.00096130983657732785,0.0012325487799116394,0.0049542540534694155,0.011523817001675042
Otu000038,0.033317379961045411,0.013469376467221133,0.0066133332677829884,0.001993862541876047
Otu000039,0.0,0.0,0.0,0.0
Otu000040,0.0,0.0,0.0,0.0
Otu000041,0.0,0.0,0.00033266799733865598,0.0016638792922948073
Otu000042,0.0,0.0,0.0,0.0
Otu000043,0.00064293989070021858,0.0024808192941102474,0.010248017921464132,0.05798334118509213
Otu000044,0.0074336160577138412,0.0021826678331680889,0.003638644986982794,0.00099386254187604694
Otu000045,0.0022718253875992078,0.0021826678331680889,0.00099176305298543581,0.0016527167085427137
Otu000046,0.0,0.0,0.0,0.0
Otu000047,0.0,0.0,0.0,0.0
Otu000048,0.0016226854979529892,0.0063980084233524808,0.014210508921948112,0.0095935667922948074
Otu000049,0.0,0.0,0.0,0.00033333333333333332
Otu000050,0.0,0.0,0.0,0.0
Otu000051,0.0,0.0,0.0,0.0
Otu000052,0.00064293989070021858,0.0055264980415308746,0.025800601861411279,0.0036516043760469012
Otu000053,0.011096146417226537,0.018263746272199882,0.019197469865960468,0.013628729585427136
Otu000054,0.00031836994587710921,0.0,0.0,0.0
Otu000055,0.0,0.0,0.0,0.0
Otu000056,0.0,0.0,0.0,0.0
Otu000057,0.0,0.0,0.0,0.0
Otu000058,0.0,0.0,0.0,0.0
Otu000059,0.00032456994482310937,0.012933119362223936,0.0023099531642789954,0.0043121335845896147
Otu000060,0.00033068783068783067,0.00062052412374035337,0.0,0.00066834170854271357
Otu000061,0.0,0.0,0.0,0.0
Otu000062,0.0,0.0,0.0,0.0
Otu000063,0.0,0.0,0.0,0.0
Otu000064,0.0,0.0,0.0,0.0
Otu000065,0.0019411375569113772,0.00063624585802732217,0.0,0.0
Otu000066,0.0,0.0,0.00066107522229760503,0.0036343043341708543
Otu000067,0.0,0.0,0.0,0.0
Otu000068,0.0035638230548643659,0.0067118816185816081,0.0059488985903398449,0.0099118378350083747
Otu000069,0.0,0.0,0.0,0.0
Otu000070,0.0,0.0002981514609421586,0.0,0.0
Otu000071,0.0,0.0,0.0,0.0
Otu000072,0.0,0.0,0.0,0.0
Otu000073,0.0,0.0,0.0,0.0
Otu000074,0.0,0.0,0.00033266799733865598,0.0016543917504187606
Otu000075,0.0,0.0,0.0,0.0
Otu000076,0.0,0.0,0.0,0.0
Otu000077,0.0,0.0,0.0,0.0
Otu000078,0.0,0.0,0.0,0.0
Otu000079,0.0,0.0,0.0,0.0
Otu000080,0.00032456994482310937,0.0,0.0,0.0013193833752093802
Otu000081,0.0,0.0,0.0,0.0
Otu000082,0.00031836994587710921,0.0002981514609421586,0.0009980039920159682,0.00032552083333333332
Otu000083,0.0,0.0,0.0,0.0
Otu000084,0.0,0.0002981514609421586,0.0023139134975806463,0.00099218750000000001
Otu000085,0.0,0.00032237266279819472,0.0,0.00066834170854271357
Otu000086,0.0025963132193410382,0.0003138731952291274,0.0,0.0
Otu000087,0.0,0.0,0.0,0.0
Otu000088,0.0,0.0,0.0,0.0
Otu000089,0.0012981976662111586,0.0018131299675089878,0.0049627755982288293,0.0076432422529313232
Otu000090,0.0,0.0,0.0,0.0
Otu000091,0.0,0.0,0.0,0.0
Otu000092,0.0029146831652181477,0.00062052412374035337,0.0,0.0
Otu000093,0.0019534554417220983,0.00093439731896948072,0.0006633558280264867,0.00033333333333333332
Otu000094,0.00033068783068783067,0.00032237266279819472,0.0013201702779443846,0.0016543917504187606
Otu000095,0.0026024311052057596,0.0,0.0,0.0
Otu000096,0.0,0.0,0.0,0.0
Otu000097,0.0,0.0,0.0,0.0
Otu000098,0.0,0.0,0.00032840722495894905,0.0043104585427135682
Otu000099,0.0,0.0,0.0,0.0
Otu000100,0.0,0.0,0.0,0.0
Otu000101,0.0,0.0,0.0,0.0
