User: USER,Path: C:\Program Files (x86)\BMG\OPTIMA\User\Data\,Test run no.: 54,,,,,,,,,,,
Test name: QUICK FI TOP,Date: 10/01/2018,Time: 15:02:58,,,,,,,,,,,
,,,,,,,,,,,,,
ID1: CC0_c_d1,,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,,
,,,,,,,,,,,,,
Raw Data (355/460),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,254,9671,19893,38509,41916,51838,209,4619,17397,31589,44621,45588
,B,121,371,363,496,363,397,421,372,368,404,323,115
,C,112,400,396,348,343,380,365,337,427,443,397,111
,D,111,395,461,376,340,359,486,435,405,402,441,113
,E,115,379,362,394,380,447,358,357,410,424,431,116
,F,119,445,429,420,427,456,331,380,395,404,432,122
,G,114,365,436,417,394,490,351,372,379,469,366,122
,H,124,107,116,112,106,115,123,104,117,112,115,129
