sample,treatment
L0_7,L0_G
L0_8,L0_G
L0_9,L0_G
L1_7,L1_G
L1_8,L1_G
L1_9,L1_G
L3_7,L3_G
L4_7,L4_G
L4_8,L4_G
L4_9,L4_G
L6_7,L6_G
L8_9,L8_G
L9_7,L9_G
L9_8,L9_G
L9_9,L9_G
L10_7,L10_G
L10_8,L10_G
L10_9,L10_G
L11_7,L11_G
L11_8,L11_G
L11_9,L11_G
L12_7,L12_G
L12_9,L12_G
L13_7,L13_G
L13_8,L13_G
L13_9,L13_G
L14_7,L14_G
L14_8,L14_G
L14_9,L14_G
L16_9,L16_G
L17_8,L17_G
L17_9,L17_G
L18_9,L18_G
L19_8,L19_G
L20_7,L20_G
L20_8,L20_G
L20_9,L20_G
S16_4,S16_G
S16_5,S16_G
S16_6,S16_G
S17_4,S17_G
S17_5,S17_G
S17_6,S17_G
S18_4,S18_G
S18_5,S18_G
S18_6,S18_G
S19_4,S19_G
S19_5,S19_G
S19_6,S19_G
S20_1_4,S20_1_G
S20_1_5,S20_1_G
S20_1_6,S20_1_G
S20_2_4,S20_2_G
S20_2_5,S20_2_G
S20_2_6,S20_2_G
S20_3_4,S20_3_G
S20_3_5,S20_3_G
S20_3_6,S20_3_G
S20_4_4,S20_4_G
S20_4_5,S20_4_G
S20_4_6,S20_4_G
L0_B,L0_R
L1_B,L1_R
L2_B,L2_R
L3_B,L3_R
L5_B,L5_R
L6_B,L6_R
L8_B,L8_R
L9_B,L9_R
L10_B,L10_R
L11_B,L11_R
L12_B,L12_R
L13_B,L13_R
L14_B,L14_R
L16_B,L16_R
L18_B,L18_R
L19_B,L19_R
L20_B,L20_R
S16_A,S16_R
S17_A,S17_R
S18_A,S18_R
S19_A,S19_R
S20_1_A,S20_1_R
S20_2_A,S20_2_R
S20_3_A,S20_3_R
S20_4_A,S20_4_R
