sample,treatment
L0_7,LG
L0_8,LG
L0_9,LG
L1_7,LG
L1_8,LG
L1_9,LG
L3_7,LG
L4_7,LG
L4_8,LG
L4_9,LG
L6_7,LG
L8_9,LG
L9_7,LG
L9_8,LG
L9_9,LG
L10_7,LG
L10_8,LG
L10_9,LG
L11_7,LG
L11_8,LG
L11_9,LG
L12_7,LG
L12_9,LG
L13_7,LG
L13_8,LG
L13_9,LG
L14_7,LG
L14_8,LG
L14_9,LG
L16_9,LG
L17_8,LG
L17_9,LG
L18_9,LG
L19_8,LG
L20_7,LG
L20_8,LG
L20_9,LG
S16_4,SG
S16_5,SG
S16_6,SG
S17_4,SG
S17_5,SG
S17_6,SG
S18_4,SG
S18_5,SG
S18_6,SG
S19_4,SG
S19_5,SG
S19_6,SG
S20_4_4,SG
S20_4_5,SG
S20_4_6,SG
L0_B,LR
L1_B,LR
L2_B,LR
L3_B,LR
L5_B,LR
L6_B,LR
L8_B,LR
L9_B,LR
L10_B,LR
L11_B,LR
L12_B,LR
L13_B,LR
L14_B,LR
L16_B,LR
L18_B,LR
L19_B,LR
L20_B,LR
S16_A,SR
S17_A,SR
S18_A,SR
S19_A,SR
S20_4_A,SR
